;
Aeugst Am Albis;1995
Affoltern Am Albis;12882
Bonstetten;5712
Hausen Am Albis;3951
Hedingen;4002
Kappel Am Albis;1382
Knonau;2466
Maschwanden;677
Mettmenstetten;5763
Obfelden;5961
Ottenbach;2973
Rifferswil;1180
Stallikon;3909
Wettswil Am Albis;5337
;
Benken (Zh);883
Berg Am Irchel;589
Buch Am Irchel;1066
Dachsen;1926
Dorf;728
Feuerthalen;3848
Flaach;1494
Flurlingen;1520
Henggart;2343
Kleinandelfingen;2238
Laufen-Uhwiesen;1828
Marthalen;1990
Ossingen;1835
Rheinau;1321
Thalheim An Der Thur;1004
Trüllikon;1104
Truttikon;458
Volken;382
Andelfingen;3681
Stammheim;2947
;
Bachenbülach;4286
Bassersdorf;12301
Bülach;24508
Dietlikon;8027
Eglisau;5750
Embrach;10356
Freienstein-Teufen;2372
Glattfelden;5438
Hochfelden;2015
Höri;3564
Hüntwangen;1094
Kloten;21737
Lufingen;2840
Nürensdorf;5862
Oberembrach;1130
Opfikon;21554
Rafz;4769
Rorbas;3008
Wallisellen;17765
Wasterkingen;594
Wil (Zh);1572
Winkel;5086
;
Bachs;678
Boppelsen;1425
Buchs (Zh);6808
Dällikon;4466
Dänikon;1866
Dielsdorf;6725
Hüttikon;957
Neerach;3328
Niederglatt;5507
Niederhasli;9648
Niederweningen;3349
Oberglatt;7772
Oberweningen;1905
Otelfingen;2924
Regensberg;478
Regensdorf;20282
Rümlang;8243
Schleinikon;868
Schöfflisdorf;1412
Stadel;2455
Steinmaur;3716
Weiach;2123
;
Bäretswil;5148
Bubikon;7661
Dürnten;8048
Fischenthal;2666
Gossau (Zh);10605
Grüningen;3886
Hinwil;11961
Rüti (Zh);12971
Seegräben;1460
Wald (Zh);10620
Wetzikon (Zh);26977
;
Adliswil;19893
Kilchberg (Zh);9483
Langnau Am Albis;8224
Oberrieden;5392
Richterswil;14378
Rüschlikon;6406
Thalwil;18513
Wädenswil;25704
Horgen;24549
;
Erlenbach (Zh);5505
Herrliberg;6780
Hombrechtikon;9176
Küsnacht (Zh);15168
Männedorf;11767
Meilen;14848
Oetwil Am See;5150
Stäfa;15152
Uetikon Am See;6663
Zumikon;5754
Zollikon;13584
;
Fehraltorf;6883
Hittnau;3970
Lindau;5871
Pfäffikon;12750
Russikon;4634
Weisslingen;3496
Wila;2113
Wildberg;1013
Illnau-Effretikon;17756
Bauma;5112
;
Dübendorf;32571
Egg;8815
Fällanden;9637
Greifensee;5421
Maur;10884
Mönchaltorf;4310
Schwerzenbach;5250
Uster;36563
Volketswil;19854
Wangen-Brüttisellen;8292
;
Altikon;774
Brütten;2247
Dägerlen;1159
Dättlikon;839
Dinhard;1731
Ellikon An Der Thur;1024
Elsau;3898
Hagenbuch;1168
Hettlingen;3227
Neftenbach;5765
Pfungen;4150
Rickenbach (Zh);2850
Schlatt (Zh);785
Seuzach;7990
Turbenthal;5300
Winterthur;120376
Zell (Zh);6809
Elgg;5175
Wiesendangen;6798
;
Aesch (Zh);1659
Birmensdorf (Zh);7380
Dietikon;28295
Geroldswil;5312
Oberengstringen;6914
Oetwil An Der Limmat;2573
Schlieren;20391
Uitikon;5699
Unterengstringen;4345
Urdorf;10503
Weiningen (Zh);5108
;
Zürich;436551
;
;
Corgémont;1819
Cormoret;511
Cortébert;660
Courtelary;1447
La Ferrière;548
Mont-Tramelan;111
Orvin;1260
Renan (Be);957
Romont (Be);232
Saint-Imier;5177
Sonceboz-Sombeval;1909
Sonvilier;1221
Tramelan;4727
Villeret;924
Sauge;829
Péry-La Heutte;1976
Belprahon;266
Champoz;150
Corcelles (Be);186
Court;1371
Crémines;537
Eschert;387
Grandval;381
Loveresse;358
Moutier;7256
Perrefitte;480
Reconvilier;2506
Roches (Be);191
Saicourt;644
Saules (Be);148
Schelten;33
Seehof;67
Sorvilier;300
Tavannes;3505
Rebévelier;32
Petit-Val;484
Valbirse;3974
La Neuveville;3804
Nods;768
Plateau De Diesse;2157
;
Biel/Bienne;56896
Evilard;2657
Lengnau (Be);5798
Meinisberg;1453
Pieterlen;5216
Aegerten;2473
Bellmund;1801
Brügg;4650
Ipsach;3869
Ligerz;525
Mörigen;881
Nidau;7053
Orpund;3373
Port;3904
Safnern;2057
Scheuren;535
Schwadernau;690
Sutz-Lattrigen;1398
Twann-Tüscherz;1174
;
Aarberg;4620
Bargen (Be);1096
Grossaffoltern;3070
Kallnach;2235
Kappelen;1409
Lyss;16558
Radelfingen;1285
Rapperswil (Be);2705
Schüpfen;3784
Seedorf (Be);3235
Arch;1744
Büetigen;916
Büren An Der Aare;3806
Diessbach Bei Büren;1052
Dotzigen;1580
Leuzigen;1361
Meienried;57
Oberwil Bei Büren;904
Rüti Bei Büren;870
Wengi;633
Brüttelen;641
Erlach;1394
Finsterhennen;570
Gals;849
Gampelen;1016
Ins;3777
Lüscherz;572
Müntschemier;1652
Siselen;633
Treiten;428
Tschugg;497
Vinelz;910
Bühl;482
Epsach;366
Hagneck;436
Hermrigen;315
Jens;660
Merzligen;403
